tire_condition,ac_condition,hybrid_battery_condition,engine_condition,tire_maintenance,ac_maintenance,battery_maintenance,engine_maintenance
75,98,56,35,0,0,0,1
40,55,4,67,0,0,1,0
55,29,8,57,0,1,1,0
38,9,4,4,0,1,1,1
20,93,85,83,1,0,0,0
41,71,15,1,0,0,1,1
37,13,96,86,0,1,0,0
67,32,6,49,0,1,1,0
32,2,89,89,0,1,0,0
15,6,3,72,1,1,1,0
43,85,35,60,0,0,1,0
16,21,50,68,1,1,1,0
11,25,6,22,1,1,1,1
46,0,16,48,0,1,1,0
41,23,79,9,0,1,0,1
91,81,22,69,0,0,1,0
100,79,26,2,0,0,1,1
91,84,61,74,0,0,0,0
12,94,79,25,1,0,0,1
21,82,20,18,1,0,1,1
77,5,46,71,0,1,1,0
19,24,95,91,1,1,0,0
96,58,85,9,0,0,0,1
32,32,81,51,0,1,0,0
31,76,14,55,0,0,1,0
58,52,55,97,0,0,0,0
93,14,90,7,0,1,0,1
5,49,4,56,1,0,1,0
25,40,58,75,1,1,0,0
79,51,71,97,0,0,0,0
13,92,95,79,1,0,0,0
41,1,32,88,0,1,1,0
42,71,29,71,0,0,1,0
72,6,11,29,0,1,1,1
93,72,48,97,0,0,1,0
86,33,34,47,0,1,1,0
43,100,4,69,0,0,1,0
63,44,85,100,0,0,0,0
30,30,42,28,1,1,1,1
88,34,14,88,0,1,1,0
90,63,50,42,0,0,1,0
50,34,58,63,0,1,0,0
48,70,56,96,0,0,0,0
12,41,34,20,1,0,1,1
57,49,41,18,0,0,1,1
94,91,68,86,0,0,0,0
34,46,26,13,0,0,1,1
0,91,35,56,1,0,1,0
6,53,86,5,1,0,0,1
64,6,80,70,0,1,0,0
68,75,45,97,0,0,1,0
89,66,82,38,0,0,0,1
46,68,13,37,0,0,1,1
0,80,90,83,1,0,0,0
0,33,22,100,1,1,1,0
41,20,96,50,0,1,0,0
73,78,77,85,0,0,0,0
8,33,46,53,1,1,1,0
12,38,54,16,1,1,0,1
67,70,26,5,0,0,1,1
53,65,77,90,0,0,0,0
14,20,10,27,1,1,1,1
94,43,51,72,0,0,0,0
92,91,7,33,0,0,1,1
63,30,5,13,0,1,1,1
77,43,85,96,0,0,0,0
51,93,90,98,0,0,0,0
9,70,5,68,1,0,1,0
62,89,91,21,0,0,0,1
85,37,59,26,0,1,0,1
17,45,56,31,1,0,0,1
15,46,3,85,1,0,1,0
85,31,34,39,0,1,1,1
88,70,60,1,0,0,0,1
58,77,88,20,0,0,0,1
62,84,56,37,0,0,0,1
34,16,88,96,0,1,0,0
48,37,10,4,0,1,1,1
41,7,98,67,0,1,0,0
38,21,90,40,0,1,0,1
56,43,61,77,0,0,0,0
38,96,47,31,0,0,1,1
81,28,65,100,0,1,0,0
80,3,83,80,0,1,0,0
44,89,85,26,0,0,0,1
100,20,25,21,0,1,1,1
74,7,68,96,0,1,0,0
38,94,48,68,0,0,1,0
95,12,27,73,0,1,1,0
9,78,34,20,1,0,1,1
59,64,4,78,0,0,1,0
86,67,0,61,0,0,1,0
21,15,78,95,1,1,0,0
33,73,41,70,0,0,1,0
45,67,48,0,0,0,1,1
35,11,53,5,0,1,0,1
72,0,13,13,0,1,1,1
86,70,0,23,0,0,1,1
21,29,15,72,1,1,1,0
76,44,90,63,0,0,0,0
55,40,32,66,0,1,1,0
28,28,39,34,1,1,1,1
10,34,12,80,1,1,1,0
88,64,95,17,0,0,0,1
18,64,48,67,1,0,1,0
60,84,94,88,0,0,0,0
34,55,18,81,0,0,1,0
73,23,85,33,0,1,0,1
75,90,21,41,0,0,1,0
79,49,35,94,0,0,1,0
95,1,73,67,0,1,0,0
4,8,37,100,1,1,1,0
9,83,15,75,1,0,1,0
49,69,28,34,0,0,1,1
14,75,82,37,1,0,0,1
83,41,69,86,0,0,0,0
39,24,72,86,0,1,0,0
97,38,59,59,0,1,0,0
15,98,67,6,1,0,0,1
65,12,23,49,0,1,1,0
94,73,79,60,0,0,0,0
44,71,53,80,0,0,0,0
54,55,74,20,0,0,0,1
54,88,8,78,0,0,1,0
96,31,56,9,0,1,0,1
7,95,46,5,1,0,1,1
58,2,3,11,0,1,1,1
36,8,92,28,0,1,0,1
8,45,65,15,1,0,0,1
25,62,86,73,1,0,0,0
66,55,82,61,0,0,0,0
81,20,41,98,0,1,1,0
42,43,59,100,0,0,0,0
55,57,33,25,0,0,1,1
13,23,81,37,1,1,0,1
94,4,22,93,0,1,1,0
71,76,62,1,0,0,0,1
12,5,58,92,1,1,0,0
96,91,15,61,0,0,1,0
14,70,64,3,1,0,0,1
29,17,62,12,1,1,0,1
62,98,78,100,0,0,0,0
99,49,32,29,0,0,1,1
41,25,98,69,0,1,0,0
34,9,11,3,0,1,1,1
27,67,9,23,1,0,1,1
5,11,49,26,1,1,1,1
80,47,10,27,0,0,1,1
54,52,30,50,0,0,1,0
0,45,80,48,1,0,0,0
39,43,36,1,0,0,1,1
97,70,100,49,0,0,0,0
23,15,48,7,1,1,1,1
73,27,43,72,0,1,1,0
98,10,65,49,0,1,0,0
97,49,70,61,0,0,0,0
37,72,54,48,0,0,0,0
82,89,94,93,0,0,0,0
44,15,16,87,0,1,1,0
87,38,78,61,0,1,0,0
65,33,74,66,0,1,0,0
8,16,4,100,1,1,1,0
99,76,49,82,0,0,1,0
30,62,12,89,1,0,1,0
78,15,13,60,0,1,1,0
50,77,44,37,0,0,1,1
16,91,61,85,1,0,0,0
32,68,52,27,0,0,0,1
3,50,13,15,1,0,1,1
98,18,51,40,0,1,0,1
45,14,14,52,0,1,1,0
38,35,21,30,0,1,1,1
24,48,1,27,1,0,1,1
51,59,36,66,0,0,1,0
43,71,15,68,0,0,1,0
12,58,65,40,1,0,0,1
18,31,31,22,1,1,1,1
34,92,51,81,0,0,0,0
71,71,9,71,0,0,1,0
88,6,22,75,0,1,1,0
95,19,40,24,0,1,1,1
50,21,50,49,0,1,1,0
11,43,56,28,1,0,0,1
69,88,69,50,0,0,0,0
17,45,27,29,1,0,1,1
62,85,18,98,0,0,1,0
24,57,54,82,1,0,0,0
77,58,82,100,0,0,0,0
52,76,70,96,0,0,0,0
71,42,41,10,0,0,1,1
97,60,65,54,0,0,0,0
74,12,77,42,0,1,0,0
84,87,73,30,0,0,0,1
68,38,25,31,0,1,1,1
76,26,11,5,0,1,1,1
44,43,74,22,0,0,0,1
19,95,65,3,1,0,0,1
85,78,90,57,0,0,0,0
46,84,18,56,0,0,1,0
44,49,85,71,0,0,0,0
10,53,55,72,1,0,0,0
32,70,10,31,0,0,1,1
94,18,11,71,0,1,1,0
19,100,46,36,1,0,1,1
60,19,85,40,0,1,0,1
47,94,92,35,0,0,0,1
69,3,28,55,0,1,1,0
85,20,40,96,0,1,1,0
24,71,5,91,1,0,1,0
30,85,7,70,1,0,1,0
40,88,17,88,0,0,1,0
83,96,40,29,0,0,1,1
85,43,1,16,0,0,1,1
76,48,17,79,0,0,1,0
33,54,9,52,0,0,1,0
17,68,33,36,1,0,1,1
9,55,54,68,1,0,0,0
13,29,92,33,1,1,0,1
7,28,58,72,1,1,0,0
19,44,97,11,1,0,0,1
79,43,68,41,0,0,0,0
52,86,35,25,0,0,1,1
35,30,65,49,0,1,0,0
73,54,91,41,0,0,0,0
81,42,27,10,0,0,1,1
86,23,46,64,0,1,1,0
96,38,25,26,0,1,1,1
10,19,22,80,1,1,1,0
2,25,69,5,1,1,0,1
12,3,69,23,1,1,0,1
70,84,40,60,0,0,1,0
49,38,38,96,0,1,1,0
69,13,50,2,0,1,1,1
42,36,17,6,0,1,1,1
90,62,71,19,0,0,0,1
55,94,75,63,0,0,0,0
32,20,64,33,0,1,0,1
62,99,88,67,0,0,0,0
69,16,22,17,0,1,1,1
80,19,85,38,0,1,0,1
34,6,66,97,0,1,0,0
80,66,88,16,0,0,0,1
43,68,87,100,0,0,0,0
21,3,59,40,1,1,0,1
7,12,87,47,1,1,0,0
71,66,36,80,0,0,1,0
54,70,34,20,0,0,1,1
8,20,60,70,1,1,0,0
48,83,2,3,0,0,1,1
40,6,1,41,0,1,1,0
45,79,61,60,0,0,0,0
39,69,100,27,0,0,0,1
49,41,47,4,0,0,1,1
79,64,78,99,0,0,0,0
0,66,0,24,1,0,1,1
75,97,20,62,0,0,1,0
28,3,29,89,1,1,1,0
10,82,2,88,1,0,1,0
1,19,62,16,1,1,0,1
24,33,1,25,1,1,1,1
61,62,61,20,0,0,0,1
52,3,84,76,0,1,0,0
43,6,34,27,0,1,1,1
92,50,93,100,0,0,0,0
46,87,57,45,0,0,0,0
40,40,36,56,0,1,1,0
81,13,95,57,0,1,0,0
63,32,48,23,0,1,1,1
86,16,84,61,0,1,0,0
96,27,64,26,0,1,0,1
79,22,12,14,0,1,1,1
23,26,78,25,1,1,0,1
58,88,2,34,0,0,1,1
54,85,4,72,0,0,1,0
89,1,39,65,0,1,1,0
13,65,24,47,1,0,1,0
5,98,6,86,1,0,1,0
